NO    : OWNER      SIZE         NAME
--      -----      ----         ----
1     : dadi       20480        /home/dadi/Desktop/Labs_6th sem/Networks_Lab/tcpdump.txt
2     : dadi       37           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/Assignment_2/DadiSasankKumar_22CS10020/received_file.txt
3     : dadi       36           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/Assignment_2/DadiSasankKumar_22CS10020/22CS10020_file1.txt
4     : dadi       3251         /home/dadi/Desktop/Labs_6th sem/Networks_Lab/Assignment_7/sampl.txt
5     : dadi       35           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/Assignment_7/a.txt
6     : dadi       7508         /home/dadi/Desktop/Labs_6th sem/Networks_Lab/Assignment_7/code/capture.txt
7     : dadi       472          /home/dadi/Desktop/Labs_6th sem/Networks_Lab/Assignment_5/task-queue-system/tasks.txt
8     : dadi       18777        /home/dadi/Desktop/Labs_6th sem/Networks_Lab/Assignment_4/input.txt
9     : dadi       5731         /home/dadi/Desktop/Labs_6th sem/Networks_Lab/Assignment_4/code/documentation.txt
10    : dadi       2989         /home/dadi/Desktop/Labs_6th sem/Networks_Lab/Assignment_4/code/input.txt
11    : dadi       2989         /home/dadi/Desktop/Labs_6th sem/Networks_Lab/Assignment_4/code/output.txt
12    : dadi       18777        /home/dadi/Desktop/Labs_6th sem/Networks_Lab/Assignment_4/output.txt
13    : dadi       1687         /home/dadi/Desktop/Labs_6th sem/Networks_Lab/Assignment_3/Submission/sample1.txt
14    : dadi       53980        /home/dadi/Desktop/Labs_6th sem/Networks_Lab/Assignment_3/Submission/sample2.txt
15    : dadi       13488        /home/dadi/Desktop/Labs_6th sem/Networks_Lab/Assignment_3/Submission/sample3.txt
16    : dadi       27           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/Assignment_3/Submission/sample.txt
17    : dadi       4            /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/pillow-11.1.0.dist-info/top_level.txt
18    : dadi       53           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/pygments-2.19.1.dist-info/entry_points.txt
19    : dadi       47755        /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/numpy-2.2.4.dist-info/LICENSE.txt
20    : dadi       172          /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/numpy-2.2.4.dist-info/entry_points.txt
21    : dadi       1093         /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/urllib3-2.3.0.dist-info/licenses/LICENSE.txt
22    : dadi       1475         /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/click-8.1.8.dist-info/LICENSE.txt
23    : dadi       10           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/aiosignal-1.3.2.dist-info/top_level.txt
24    : dadi       58           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/markdown_it_py-3.0.0.dist-info/entry_points.txt
25    : dadi       5            /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/yarl-1.18.3.dist-info/top_level.txt
26    : dadi       19           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/charset_normalizer-3.4.1.dist-info/top_level.txt
27    : dadi       65           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/charset_normalizer-3.4.1.dist-info/entry_points.txt
28    : dadi       9            /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/tabulate-0.9.0.dist-info/top_level.txt
29    : dadi       44           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/tabulate-0.9.0.dist-info/entry_points.txt
30    : dadi       9            /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/requests-2.32.3.dist-info/top_level.txt
31    : dadi       1066         /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/eval_type_backport-0.2.2.dist-info/LICENSE.txt
32    : dadi       19           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/eval_type_backport-0.2.2.dist-info/top_level.txt
33    : dadi       11           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/frozenlist-1.5.0.dist-info/top_level.txt
34    : dadi       8            /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/certifi-2025.1.31.dist-info/top_level.txt
35    : dadi       57           /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/typer-0.15.2.dist-info/entry_points.txt
36    : dadi       967          /home/dadi/Desktop/Labs_6th sem/Networks_Lab/env/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-README.txt
